"r_1/2, SFK","r_1/10, SFK","r_1/2, pG1S2","r_1/10, pG1S2",[pG1S2]_cent:surf,[pG1S2]_average,param,type
0.0,0.0,0.00011091456611833383,0.00030490967318725645,5.354960710337152e-5,0.0033579677493978275,Dsfk,S1
0.0,0.0,0.0008983827750409486,0.00010136960447531792,2.1424431895403102e-5,7.049257018356131e-5,Dg2,S1
0.0,0.0,0.027427683851404844,0.031106497179360572,0.024699798345738936,0.0009456451227022459,Dg2g1,S1
0.0,0.0,0.014265663333669729,0.013225493327964083,0.013735895977408815,4.826516225797001e-5,Dg2g1s2,S1
0.0,0.0,0.09293939200220705,0.09242281084570361,0.10269187686085735,0.021849061957833135,Dg1,S1
0.0,0.0,0.06279635857732839,0.060744786719244846,0.07804421097275654,6.794622871284546e-5,Dg1s2,S1
0.0,0.0,0.0015755268484067763,0.00015732442753631508,0.001281665258098361,0.00026724759127119793,Ds2,S1
0.0,0.0,0.010653549967104948,0.011902971706057013,0.016401692240412692,0.13511073592079206,kS2f,S1
0.0,0.0,0.03204557716076294,0.04882014068639381,0.03493511628218939,0.18367106189057816,kS2r,S1
0.0,0.0,0.0005157457867327347,0.010901444072550302,0.0007634524804335807,0.006604630609246369,kG1f,S1
0.0,0.0,0.00538458685388688,0.008371794672283156,0.0033732258780232957,1.8080668892394757e-5,kG1r,S1
0.0,0.0,0.000153329629666592,0.0010740771222613372,2.218681711501819e-5,0.0009794879296562376,kG2f,S1
0.0,0.0,0.0003107222551421132,0.00033114173509720844,1.2350324316614122e-5,5.7618421929795935e-5,kG2r,S1
0.0,0.0,0.002644001760463405,0.003995470574947758,0.004098358161748812,0.048854580409627354,kG1p,S1
0.0,0.0,0.17315210859473337,0.19203458659933456,0.19223248931047235,0.02886671229492371,kG1dp,S1
0.0,0.0,0.00033603637509463884,4.500141026447855e-5,0.00028252128208169843,0.034769621089019,kSa,S1
0.0,0.0,0.0008897092052013665,0.001607711722320782,0.0006527845245015944,0.005733078203101468,kSi,S1
0.0,0.0,0.00038963216285733607,0.0003867663814944571,0.00024129357893627135,0.004298506682651254,kp,S1
0.0,0.0,0.00012828660973364855,0.00027976926405790594,0.00022391876599388505,0.001587028608496822,kdp,S1
0.0,0.0,0.006114361847995406,0.002076376192211213,0.005157062708902672,0.017849926001388575,kEGFf,S1
0.0,0.0,0.00029248256710234945,0.000879637187464037,0.00010201355473501208,0.0029090644600396906,kEGFr,S1
0.0,0.0,0.0021653674570586046,0.002086884202819788,0.00475787972869615,0.007835085425610854,EGF,S1
0.0,0.0,0.0007374346821319542,0.0007920937110898243,0.00037215028247206664,0.002234675702355979,kdf,S1
0.0,0.0,0.00023976540034871188,0.0004761362443765249,0.00011294735419318696,0.00019708719248658332,kdr,S1
